id,episode_number,Title,season_number,season_title
0,1,Pokémon! I Choose You,1,Indigo League
1,2,Battle! Pokemon Center,1,Indigo League
2,3,I Caught A Pokémon,1,Indigo League
3,4,Samauri's Challenge,1,Indigo League
4,5,Pewter Gym Battle,1,Indigo League
5,6,Clefairy and the Moon Stone,1,Indigo League
6,7,Water flowers of Cerulean Gym,1,Indigo League
7,8,The Road to the Pokémon League,1,Indigo League
8,9,Pokemon Ensured-Victory Manual,1,Indigo League
9,10,Bulbasaur's Hidden Village,1,Indigo League
10,11,The Lost Pokémon: Charmander,1,Indigo League
11,12,Squirtle's Gangs Entrance,1,Indigo League
12,13,Bill's Lighthouse,1,Indigo League
13,14,Electric Battle! Vermillion Gym,1,Indigo League
14,15,Battle On The St. Anne,1,Indigo League
15,16,Pokémon Adrift,1,Indigo League
16,17,Island of Enormous Pokémon!?!,1,Indigo League
17,18,Holiday in Acopaulo,1,Indigo League
18,19,Tentacool and Tentacruel,1,Indigo League
19,20,Phantom Pokémon and the Summer Festival,1,Indigo League
20,21,Bye Bye Butterfree,1,Indigo League
21,22,Abra! Psychic Showdown,1,Indigo League
22,23,Capture at Pokémon Tower,1,Indigo League
23,24,Haunter Vs. Kadabra,1,Indigo League
24,25,Don't Go Angry Primeape!,1,Indigo League
25,26,Erika and Gloom,1,Indigo League
26,27,Hypno and Pokemon Hypnotism?!,1,Indigo League
27,28,Vulpix! Breeder Battle,1,Indigo League
28,29,Pokémon Match! Serious Battle!,1,Indigo League
29,30,Magnemite! Dreams of an Electric Mouse!?,1,Indigo League
30,31,Full of Diglett,1,Indigo League
31,32,Fuchsia Ninja Battle!,1,Indigo League
32,33,Blazing Pokémon Race,1,Indigo League
33,34,Kangaskahn's Lullaby,1,Indigo League
34,35,The Legend of Dratini,1,Indigo League
35,36,Storm on Cycling Road,1,Indigo League
36,37,Ditto and Duplica,1,Indigo League
37,38,Electric Soldier Porygon,1,Indigo League
38,39,Forest of Pikachu,1,Indigo League
39,40,Four Eevee Brothers,1,Indigo League
40,41,Get Up! Snorlax,1,Indigo League
41,42,Showdown! Pokemon Gym!,1,Indigo League
42,43,Exeggutor Gang March,1,Indigo League
43,44,Paras And Parasect,1,Indigo League
44,45,Sing! Jigglypuff!,1,Indigo League
45,46,Resurrection!? Fossil Pokemon!,1,Indigo League
46,47,Chansey's Clinical Records,1,Indigo League
47,48,Growlithe and James,1,Indigo League
48,49,Farfetch'd's Easy Target,1,Indigo League
49,50,Whose is Togepi?,1,Indigo League
50,51,Bulbasaur's Mysterious Garden,1,Indigo League
51,52,Fierce Fighting! Pokemon Girls' Festival,1,Indigo League
52,53,It's Children's Day! Mass Approval,1,Indigo League
53,54,Police Officer Growlithe,1,Indigo League
54,55,Shutter Chance Pikachu,1,Indigo League
55,56,Pokemon League Certification Test!?,1,Indigo League
56,57,The Secret of the Breeding Center,1,Indigo League
57,58,Heated Battle in Cinnibar Gym ,1,Indigo League
58,59,Decisive Battle! Cinnabar Gym,1,Indigo League
59,60,Blastoise's Island,1,Indigo League
60,61,Cerulean Gym! Battling in Water,1,Indigo League
61,62,Clefairy Vs. Jigglypuff,1,Indigo League
62,63,Viridian Gym! The Last Badge!,1,Indigo League
63,64,Mr. Mime and the Pokémon Circus,1,Indigo League
64,65,Jynx and Christmas,1,Indigo League
65,66,Onix as Bivouac,1,Indigo League
66,67,Dueling with the Rival! Oak's Laboratory,1,Indigo League
67,68,Slowpoke Evolving Into Slowbro,1,Indigo League
68,69,Legend of the Surfing Pikachu,1,Indigo League
69,70,Gloom of the Botanical Garden,1,Indigo League
70,71,Pokémon: The Movie,1,Indigo League
71,72,Why Meowth Can Speak,1,Indigo League
72,73,Bruno of the Elite Four Enters!,1,Indigo League
73,74,A Battle of Ancient Pokémon,1,Indigo League
74,75,Marowak's Bone Club,1,Indigo League
75,76,Moltres! Declaring the Pokémon League!,1,Indigo League
76,77,Pokémon League Opening! Match In Water Field!,1,Indigo League
77,78,Ice Field! Blazing Battle,1,Indigo League
78,79,Formidable Rival in Grass Field!,1,Indigo League
79,80,New Rival,1,Indigo League
80,81,Indigo Stadium! VS Richie,1,Indigo League
81,82,Pokémon League! The Final Battle!,1,Indigo League
82,83,Pallet Town! Another Departure!,1,Indigo League
83,84,Airship Mishap!?,2,Adventures in the Orange Islands
84,85,Southern Pokémon & The GS Ball,2,Adventures in the Orange Islands
85,86,Lapras In Bonds!,2,Adventures in the Orange Islands
86,87,Orange League! Mikan Gym! ,2,Adventures in the Orange Islands
87,88,Mystery of the Disappearing Pokémon!,2,Adventures in the Orange Islands
88,89,The Crystal Onix!,2,Adventures in the Orange Islands
89,90,The Island of Pink Pokémon!,2,Adventures in the Orange Islands
90,91,Secret of Fossil Kabuto!,2,Adventures in the Orange Islands
91,92,Dance! Pokémon Showboat!,2,Adventures in the Orange Islands
92,93,"Adios Psyduck, Hello Golduck",2,Adventures in the Orange Islands
93,94,Nurse Joy Sailing! Raging Waves!,2,Adventures in the Orange Islands
94,95,Navel Island! Battle on Snow Mountain,2,Adventures in the Orange Islands
95,96,Hungry Snorlax! Great Panic!,2,Adventures in the Orange Islands
96,97,Phantom Pokémon of the Phantom Ship!,2,Adventures in the Orange Islands
97,98,Lord Meowth's Island!?,2,Adventures in the Orange Islands
98,99,Scyther - Soldier's Pride,2,Adventures in the Orange Islands
99,100,It's the Southern Islands! Everyone Gather!,2,Adventures in the Orange Islands
100,101,Lorelei of the Elite Four! Ice Duel!,2,Adventures in the Orange Islands
101,102,Nidoran's Love Story,2,Adventures in the Orange Islands
102,103,The Vast Plain's Call,2,Adventures in the Orange Islands
103,104,Phantom of the Underwater Tunnel,2,Adventures in the Orange Islands
104,105,Trovita Gym Type Battle! 3 vs. 3!,2,Adventures in the Orange Islands
105,106,Pikachu Vs. Meowth!?,2,Adventures in the Orange Islands
106,107,Charizard! I Choose You!,2,Adventures in the Orange Islands
107,108,Fire Extinguishing Showdown! Squirtle Vs. Wartortle!,2,Adventures in the Orange Islands
108,109,Snorlax's Power!,2,Adventures in the Orange Islands
109,110,Tag Match! The Last Gym!,2,Adventures in the Orange Islands
110,111,Magikarp! The True Secret!,2,Adventures in the Orange Islands
111,112,Poliwag and Misty,2,Adventures in the Orange Islands
112,113,Winner's Cup! 6 vs. 6!,2,Adventures in the Orange Islands
113,114,Final Battle! Dragonite's Appearance!,2,Adventures in the Orange Islands
114,115,Goodbye Lapras!,2,Adventures in the Orange Islands
115,116,Electrode's Tremendous Blast!?,2,Adventures in the Orange Islands
116,117,Return to Pallet Town!,2,Adventures in the Orange Islands
117,118,Rival Confrontation! Ash Vs. Gary!,2,Adventures in the Orange Islands
118,119,New Bark Town! Where Winds of New Beginnings Blow!,3,The Johto Journeys
119,120,Rookie's Chikorita!,3,The Johto Journeys
120,121,Collide! Heracross vs. Pinsir!,3,The Johto Journeys
121,122,Donphan's Valley!,3,The Johto Journeys
122,123,Hoothoot and the Mysterious Forest!,3,The Johto Journeys
123,124,Bellossom's Battle Dancing,3,The Johto Journeys
124,125,Spinarak! The Ultimate Detective Job!,3,The Johto Journeys
125,126,Snubbull's Magnificent Life!?,3,The Johto Journeys
126,127,Stantler! Forest of Illusions!,3,The Johto Journeys
127,128,Stubborn Chikorita!!,3,The Johto Journeys
128,129,Quagsire and the GS Ball!?,3,The Johto Journeys
129,130,Ledyba's Flute!,3,The Johto Journeys
130,131,Blissey The Happy Nurse!,3,The Johto Journeys
131,132,Pokemon School and Bellsprout's Tower!,3,The Johto Journeys
132,133,Violet Gym! Sky Battle!,3,The Johto Journeys
133,134,Crybaby Marill!,3,The Johto Journeys
134,135,Pasture! Sentret & Togepi! ,3,The Johto Journeys
135,136,Charizard Valley! Until We Meet Again!,3,The Johto Journeys
136,137,Big Panic! Sunflora Contest!! ,3,The Johto Journeys
137,138,Chikorita's Jealousy!,3,The Johto Journeys
138,139,Hoppip's Jealousy! Battle In the Big Prarie!,3,The Johto Journeys
139,140,Riddle Superhero! Gligar Man!!,3,The Johto Journeys
140,141,Mareep Meadow's Girl!!,3,The Johto Journeys
141,142,Battle! Heracross vs. Scizor!! ,3,The Johto Journeys
142,143,I Got Cyndaquil!,3,The Johto Journeys
143,144,Azalea Town! Slowpoke's Well!,3,The Johto Journeys
144,145,Pineco and the Apricorns! Mountain-side Battle!,3,The Johto Journeys
145,146,Azalea Gym! Forest Battle!,3,The Johto Journeys
146,147,Ilex Forest! Search for Farfetch'd!,3,The Johto Journeys
147,148,Wobbuffet and the Pokémon Exchange!,3,The Johto Journeys
148,149,Burn Squirtle Squad! Like a Fire!!,3,The Johto Journeys
149,150,Lots of Wooper!,3,The Johto Journeys
150,151,Jigglypuff Vs. Snubbull!,3,The Johto Journeys
151,152,The Dark Pokémon Houndour!,3,The Johto Journeys
152,153,Who Gets to Keep Totodile?! Ash Versus Misty!,3,The Johto Journeys
153,154,Skarmory Vs. Cyndaquil! Steel Wings,3,The Johto Journeys
154,155,Dancing Totodile! Steps of Love!! ,3,The Johto Journeys
155,156,Different Colored Noctowl!! Get It!!,3,The Johto Journeys
156,157,Ursaring's Startled!!,3,The Johto Journeys
157,158,Girafarig and the Psychic Village!,3,The Johto Journeys
158,159,Pokemon Fortune-Telling?! Headlines! ,3,The Johto Journeys
159,160,Goldenrod Gym! Speed and Power?!?,4,Johto League Champions
160,161,Miltank! Revenge Battle!,4,Johto League Champions
161,162,Radio Tower Battle! Center Crossover!,4,Johto League Champions
162,163,Bug Catching Battle! Caught At Nature Park,4,Johto League Champions
163,164,Where is Sudowoodo!?,4,Johto League Champions
164,165,Fossil Pokémon Park! Ruins of Alph!,4,Johto League Champions
165,166,Pidgey The Carrier Pigeon!,4,Johto League Champions
166,167,Zubat Mansion! Dangerous Labyrinth!,4,Johto League Champions
167,168,Bulbasaur Vs. Hitmontop! Fighting Match!,4,Johto League Champions
168,169,Three in the Jungle! Hot Spring Battle!,4,Johto League Champions
169,170,Seaking! Fishing Battle!,4,Johto League Champions
170,171,Sayonara Vulpix! Beauty Contest!,4,Johto League Champions
171,172,Bellsprout Vs. Shuckle,4,Johto League Champions
172,173,Umbreon! Battle In The Moonless Night!,4,Johto League Champions
173,174,Ledian! Cross Through The Windy Valley!,4,Johto League Champions
174,175,Wobbuffet Village!,4,Johto League Champions
175,176,I Wanna Be A Ditto Master! Return of Duplica,4,Johto League Champions
176,177,"Snubbull, Meowth And Granbull!?",4,Johto League Champions
177,178,Ariados and the Ninja Battle,4,Johto League Champions
178,179,Beat the Winged Yanma! Across The Tomorrow Skies!,4,Johto League Champions
179,180,Skiploom! Grass Type Pokémon Battle!,4,Johto League Champions
180,181,Pikachu & Pichu!,4,Johto League Champions
181,182,Houndoom and Togepi!,4,Johto League Champions
182,183,Burnt Tower! Morty Appears!,4,Johto League Champions
183,184,Ecruteak Gym! A Ghost Battle!,4,Johto League Champions
184,185,The 5 Eevee Sisters! Tea Party Battle!,4,Johto League Champions
185,186,Murkrow! The Theft of the Four Badges!,4,Johto League Champions
186,187,Remoraid's Sky!,4,Johto League Champions
187,188,Teddiursa's Secret!,4,Johto League Champions
188,189,The Mystery of the Frozen Sunkern!,4,Johto League Champions
189,190,Swinub! Search for the Hot Springs!,4,Johto League Champions
190,191,Articuno Vs. Jigglypuff! In The Snowstorm!,4,Johto League Champions
191,192,Arcanine and the Fire Stones!,4,Johto League Champions
192,193,No More Dunsparce?,4,Johto League Champions
193,194,Wobbuffet! Disaster?,4,Johto League Champions
194,195,Brock's Breakdown! Dangerous Camp!,4,Johto League Champions
195,196,Feraligatr Vs. Blastoise! Sumo Match!,4,Johto League Champions
196,197,You Can Speak To Pokémon!? Pokémon's Words and Emotions!,4,Johto League Champions
197,198,Golbat Vs. Masked Jessie! Battle In The Ruins!,4,Johto League Champions
198,199,Smeargle's Tracks! Shining in the Morning Sun!,4,Johto League Champions
199,200,"Nidorina, Nidorino! Brock's Color is Rose!",4,Johto League Champions
200,201,Goodbye Chikorita! Dangerous Electric Labyrinth!,4,Johto League Champions
201,202,Where has Bayleaf Gone!? The Catcher in the Herbs!,4,Johto League Champions
202,203,Fortune-Telling Natu! Foreshadow Future's Mystery!,4,Johto League Champions
203,204,Pokémon Balloon Race! Pass Through The Storm!,4,Johto League Champions
204,205,Smoochum is Daydreaming! Pokémon Superstar In Love?,4,Johto League Champions
205,206,Chase the Swimming Rhydon! Lake of a Battle!,4,Johto League Champions
206,207,Kecleon Is Somewhere! Pokémon That Cannot Be Seen,4,Johto League Champions
207,208,Nurse Joy That Hates Water Pokémon! Misty's Wrath,4,Johto League Champions
208,209,Mother Miltank! Desert Secret!!,4,Johto League Champions
209,210,Lighthouse Radiance! Olivine City Battle!!,4,Johto League Champions
210,211,Cianwood City Gym! Wrestling Match!,4,Johto League Champions
211,212,Whirl Islands! Reaching a New Challenge!,5,Master Quest
212,213,Pidgey and Pidgey Detective! Still Will Watch an Eye to the Sky!,5,Master Quest
213,214,Trip to the Beach! Chinchou Possession!,5,Master Quest
214,215,A Friend Hereafter in Corsola! Showdown at Yellow Rock Island!,5,Master Quest
215,216,Mantine and the Sunkern Ship! Secret Pokémon Riddle!,5,Master Quest
216,217,Octillery Vs. Remoraid! Whirlpool Cup Qualifying Round!,5,Master Quest
217,218,Whirlpool Cup! Great Battle in the Water Colosseum!,5,Master Quest
218,219,Ash Vs. Misty! Whirlpool Cup Final Battle!,5,Master Quest
219,220,Protect Diglett Village! Amazing Pitfall Strategy!,5,Master Quest
220,221,Legend of the Silver Feather! Silver Rock Island!!,5,Master Quest
221,222,Mystery Pokémon X!!,5,Master Quest
222,223,Captive Lugia!,5,Master Quest
223,224,Agreement with Lugia!,5,Master Quest
224,225,Fly Proud Hoothoot! Aim for Olivine!!,5,Master Quest
225,226,Olivine Gym! Vs. Steelix!,5,Master Quest
226,227,Goodbye Bulbasaur! Adventure at Oak's Residence!!,5,Master Quest
227,228,Sakura and Espeon! Ecruteak City Again!!,5,Master Quest
228,229,Suicune and Eusine! Legend Of Ho-oh!!,5,Master Quest
229,230,Ride the Swiftly Running Pokémon!!,5,Master Quest
230,231,The Great Police Detective! Mystery Of The Egg That Vanished!,5,Master Quest
231,232,The Egg....Hatches,5,Master Quest
232,233,Team Rocket and Delibird!,5,Master Quest
233,234,Ninetales In The Fog!,5,Master Quest
234,235,Tyrogue And The Karate King Nobuhiko!,5,Master Quest
235,236,The Great Prediction of Xatu!,5,Master Quest
236,237,Lance and the Red Gyarados! Lake Of Rage!!,5,Master Quest
237,238,Rage of the Red Gyarados!,5,Master Quest
238,239,Piloswine and Pryce Of Winter!,5,Master Quest
239,240,Mahogony Gym! Ice Battle!!,5,Master Quest
240,241,Bellossom and Vileplume! Peace In The Grassy Meadow!,5,Master Quest
241,242,Magcargo! Catch In The Hot Spirit!,5,Master Quest
242,243,A Great Transformation in Pokémon Magic!?,5,Master Quest
243,244,Zapdos and the Crystal! Secret of the Lake!,5,Master Quest
244,245,Igglybuff Twins Vs. Jigglypuff! Pokemon Singing Concert!,5,Master Quest
245,246,Slowpoke's Knowledge! Ash's Knowledge!,5,Master Quest
246,247,Imposter Professor Oak!? Comic Haiku Showdown!!,5,Master Quest
247,248,"Cleffa, Clefairy, and the Shoooting Star!",5,Master Quest
248,249,The Evolution of Poliwhirl!,5,Master Quest
249,250,"Battle Park! Vs. Blastoise, Charizard and Venusaur!",5,Master Quest
250,251,Politoed and Cheerleading!,5,Master Quest
251,252,The Ice Cave!,5,Master Quest
252,253,Clair & Dratini!,5,Master Quest
253,254,Blackthorn City Gym's Dragon's Fang!,5,Master Quest
254,255,Dragonite! Invoke the Imperial Wrath!,5,Master Quest
255,256,Blackthorn City Gym! The Final Badge!,5,Master Quest
256,257,Wynaut! Wobbuffet and the Gym Badges!,5,Master Quest
257,258,Coastline Gym! Battle in the Middle of Water!,5,Master Quest
258,259,The Song of Lapras!,5,Master Quest
259,260,Protect the Egg! A Life was Hidden in The Storm!,5,Master Quest
260,261,Entei and Friends of the Hot Spring!,5,Master Quest
261,262,Slowking! King's Rock!,5,Master Quest
262,263,Casey and Elekid!,5,Master Quest
263,264,Try Your Best Larvitar!,5,Master Quest
264,265,The Unown of the Wondrous Country!,5,Master Quest
265,266,Tyranitar and Larvitar!,5,Master Quest
266,267,Sneasel and the Sacred Fire!,5,Master Quest
267,268,The Silver Tournament! The Return of Gary!,5,Master Quest
268,269,League Preliminaries! Quilava Flame Battle!,5,Master Quest
269,270,Meganium vs. Bulbasaur! Spirit of the Grass Types!,5,Master Quest
270,271,Tournament Finals! Full Battle 6 vs 6!!,5,Master Quest
271,272,Rival Confrontation! Charizard VS Blatoise!,5,Master Quest
272,273,Blaziken Returns! Battle with Harrison!!,5,Master Quest
273,274,To the End of the Full Battle! Each One's Way!!,5,Master Quest
274,275,Farewell...and then Setting Off!,5,Master Quest
275,276,The Parting with Pikachu!,5,Master Quest
276,277,A New Land! A New Adventure!!,6,Advanced
277,278,Ancient Pokémon and Mysterious Teams!,6,Advanced
278,279,Petalburg Gym! VS. Vigoroth!,6,Advanced
279,280,A Lot of Taillow! A Lot of Danger! Capture in Petalburg Woods!,6,Advanced
280,281,Zigzagoon and Youngster! May's First Battle!!,6,Advanced
281,282,Team Rocket! Goodbye to the Trouble Makers!!,6,Advanced
282,283,Treecko's Woods! Protect the Big Tree!,6,Advanced
283,284,Seviper VS Treecko! Strike of Death!,6,Advanced
284,285,Bizarre! The Shroomish Mansion Mystery!,6,Advanced
285,286,The Greatest Pelipper Show in History!,6,Advanced
286,287,Mightyena and Poochyena! Mystery of Evolution!,6,Advanced
287,288,Lotad and the Three Sisters of the Flower Shop!,6,Advanced
288,289,Contest! Beautifly's Magnificent Battle!,6,Advanced
289,290,Double Battle & Double Wurmple!?!,6,Advanced
290,291,Try to Study! Pokémon Trainer's School!,6,Advanced
291,292,Rustboro Gym! Nosepass' Secret Weapon!,6,Advanced
292,293,Devon Corporation! Shadow of Team Aqua!,6,Advanced
293,294,Old Man Briney and Peeko The Wingull!,6,Advanced
294,295,Escape! Sharpedo's Island!,6,Advanced
295,296,Dewford Gym! Enter Brawly the Surfing Gym Leader!,6,Advanced
296,297,Wurmple Vs. Wurmple! Which is Which!?!,6,Advanced
297,298,"Steven, Aron & Aggron!",6,Advanced
298,299,Roughneck of the Sea! Corphish Enters!,6,Advanced
299,300,Run Ash! Cross the Carvahna River!,6,Advanced
300,301,The Secret Pond! Full of Mudkip!,6,Advanced
301,302,Attack of the Nuzleaf Family!,6,Advanced
302,303,Team Magma VS Team Aqua! Secret Base Battle!,6,Advanced
303,304,Beautifly & Dustox! The Final Evolution!,6,Advanced
304,305,The Startling Sableye!,6,Advanced
305,306,Meditite and the Battle Girl! In a Storm!,6,Advanced
306,307,Dewford Gym Rematch! Surfing Battlefield!,6,Advanced
307,308,The Abandoned Ship! The Creeping Shadow!,6,Advanced
308,309,A Rival For May! Intensive Pokémon Contest Training!,6,Advanced
309,310,The Great Starter Pokémon Panic!,6,Advanced
310,311,May! The First Pokémon Contest Challenge!,6,Advanced
311,312,Protect The Ocean Museum! Attack of Team Magma,6,Advanced
312,313,Beauty & The Beast! Shiftry & Nurse Joy!,6,Advanced
313,314,Plusle & Minun! The Mountain Lighthouse!,6,Advanced
314,315,Sing! Pokémon Trick House!,6,Advanced
315,316,Mauville Gym! Wattson's Electric Shock Battle!,6,Advanced
316,317,Treecko's New Technique!! Watmel Field's Bullet Seed!,7,Advanced Challenge
317,318,Volbeat & Illumise! Dance Of Love!,7,Advanced Challenge
318,319,Fly Bagon! Towards the Future!,7,Advanced Challenge
319,320,Enter Misty! Togepi and the Mirage Kingdom!,7,Advanced Challenge
320,321,Towards The Mirage! Togepi's Paradise!!,7,Advanced Challenge
321,322,Winstrate Family! 4 Vs. 4!,7,Advanced Challenge
322,323,Skitty & Aromatherapy!,7,Advanced Challenge
323,324,Zangoose & Seviper! Rival Confrontation!,7,Advanced Challenge
324,325,Max & Max! Protect Surskit!,7,Advanced Challenge
325,326,Pokémon Contest! Fallarbor Convention!,7,Advanced Challenge
326,327,Vs. Medicham! Contest Battle,7,Advanced Challenge
327,328,Plusle & Minun! Road Assitance!,7,Advanced Challenge
328,329,Skitty & Assist! Meadow Of Numel,7,Advanced Challenge
329,330,"Once Again, Team Magma Vs. Team Aqua! Mt. Chimney Battle!",7,Advanced Challenge
330,331,"The New Gym Leader, Flannery! The Hole-Filled Battle Field!",7,Advanced Challenge
331,332,Heat Badge! Win The Blazing Battle!,7,Advanced Challenge
332,333,Lots of Spinda! Beyond the Mountain in Search of Happiness!,7,Advanced Challenge
333,334,Breaking Through Steel Valley! Torkoal VS. Steelix!,7,Advanced Challenge
334,335,Return To Mauville Gym! VS. Manectric!,7,Advanced Challenge
335,336,Skitty & Delcatty! Enter the Legendary Pokémon Co-Ordinator!,7,Advanced Challenge
336,337,Enter The Phantom Masked Co-Ordinator!,7,Advanced Challenge
337,338,Verdanturf Town! Pokémon Contest,7,Advanced Challenge
338,339,Solrock & Lombre! Legend Of The Forest!,7,Advanced Challenge
339,340,Sky of Swablu! Spirit Of May!,7,Advanced Challenge
340,341,The Great Gulpin Repelling Strategy!,7,Advanced Challenge
341,342,Critical Situation! Exploud Vs. Grovyle!,7,Advanced Challenge
342,343,Dancing Battle! Ludicolo!,7,Advanced Challenge
343,344,Papa is Idol?!? False Gym Leader!,7,Advanced Challenge
344,345,Petalburg Gym Crisis! Household Crisis!!,7,Advanced Challenge
345,346,Petalburg Gym! The Fifth Badge!!,7,Advanced Challenge
346,347,Prof. Oak & Prof. Birch! Secret Base Battle!!,7,Advanced Challenge
347,348,Tag Battle! Ash VS May!!,7,Advanced Challenge
348,349,King of the Forbidden Forest! Venusaur!,7,Advanced Challenge
349,350,Bulbasaur & Bulbasaur! Regaining the Pokéballs!,7,Advanced Challenge
350,351,Showdown! Fishing Master & The Giant Whiscash!,7,Advanced Challenge
351,352,Baltoy & The Ruins in the Mist!,7,Advanced Challenge
352,353,Formidable Enemy!? Mother Coordinator Enters!,7,Advanced Challenge
353,354,Pokémon Contest! Rubello Tournament!,7,Advanced Challenge
354,355,Spoink's Lost Object!?,7,Advanced Challenge
355,356,Beginning Challenge! Sky Match - PokéRinger!?,7,Advanced Challenge
356,357,The Mansion of Shuppet!,7,Advanced Challenge
357,358,The Forest's Fighting King! Combusken VS Breloom!,7,Advanced Challenge
358,359,Castform & The Weather Institute!,7,Advanced Challenge
359,360,Fortree City's Feather Carnival!,7,Advanced Challenge
360,361,Fortree Gym! Battle In The Sky,7,Advanced Challenge
361,362,The Film's Riding on Camerupt!,7,Advanced Challenge
362,363,Mystery! Pokémon From Outer Space?!,7,Advanced Challenge
363,364,The Snorlax in Slakoth's Banana Garden!!,7,Advanced Challenge
364,365,Pikachu...Joining Team Rocket??,7,Advanced Challenge
365,366,Arrival in Lilycove City! PokéBlocks and Aerial Ace!?,7,Advanced Challenge
366,367,Pokémon Contest! Lilycove Tournament!,7,Advanced Challenge
367,368,The Three Animal Appearence! The Referee School Island!,7,Advanced Challenge
368,369,Spoink & Clamperl! Seek The Pearl!,8,Advanced Battle
369,370,Relicanth and the Deep Sea Treasure!,8,Advanced Battle
370,371,Gorebyss & Huntail! The Evolution Mystery!,8,Advanced Battle
371,372,Muscle Battle! Double Battle!,8,Advanced Battle
372,373,Groudon VS Kyogre! (Part One),8,Advanced Battle
373,374,Groudon VS Kyogre! (Part Two),8,Advanced Battle
